,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
19617,23.0253251198,29.4893908282,5,128,L,R,180,175,100282,100113,ARG,CZE,,Jan Kodes,120,Guillermo Vilas,3,20,4,1,1975
19618,22.981519507199998,26.5708418891,5,128,L,R,178,188,100284,100173,USA,USA,,Andrew Pattison,121,Jimmy Connors,1,46,5,1,1975
19619,19.2224503765,24.5065023956,5,128,R,R,180,170,100437,100232,SWE,USA,,Eddie Dibbs,122,Bjorn Borg,5,27,5,1,1975
19620,26.5516769336,29.106091718000002,5,128,L,R,178,183,100174,100119,ESP,ROU,,Ilie Nastase,123,Manuel Orantes,9,8,5,1,1975
19621,23.0253251198,29.2320328542,5,128,L,R,180,180,100282,100115,ARG,CHI,,Jaime Fillol,124,Guillermo Vilas,3,24,5,1,1975
19622,22.981519507199998,19.2224503765,5,128,L,R,178,180,100284,100437,USA,SWE,,Bjorn Borg,125,Jimmy Connors,1,5,6,1,1975
19623,26.5516769336,23.0253251198,5,128,L,L,178,180,100174,100282,ESP,ARG,,Guillermo Vilas,126,Manuel Orantes,9,3,6,1,1975
19624,26.5516769336,22.981519507199998,5,128,L,L,178,178,100174,100284,ESP,USA,,Jimmy Connors,127,Manuel Orantes,9,1,7,1,1975
21799,23.9972621492,36.6379192334,5,128,L,R,178,190,100284,100040,USA,RSA,,Bob Hewitt,1,Jimmy Connors,1,58,1,1,1976
21801,26.1136208077,24.982888432600003,5,128,R,R,183,180,100215,100252,USA,USA,,Tim Gullikson,3,Fred Mcnair,122,114,1,1,1976
21803,22.1026694045,20.4517453799,5,128,R,L,183,173,100342,100422,USA,USA,,Bruce Manson,5,Vitas Gerulaitis,22,210,1,1,1976
21804,25.2594113621,22.3162217659,5,128,R,R,175,183,100243,100332,USA,HUN,,Balazs Taroczy,6,Steve Krulevitz,107,39,1,1,1976
21805,20.3915126626,25.0814510609,5,128,R,R,183,175,100428,100249,USA,ITA,,Paolo Bertolucci,7,Gene Mayer,159,70,1,1,1976
21807,33.1471594798,25.4893908282,5,128,R,R,185,183,100074,100236,USA,AUS,,John James,9,Arthur Ashe,2,131,1,1,1976
