,age1,age2,best_of,draw_size,ht1,ht2,ioc1,ioc2,match_num,rank1,rank2,round,win,year
53377,24.3258042437,19.4715947981,5,128,193,190,ECU,FRA,104,6,165,3,1,1984
53378,21.2676249144,21.6728268309,5,128,185,185,USA,RSA,105,243,322,3,1,1984
53379,26.2231348392,26.1793292266,5,128,175,193,USA,USA,106,13,81,3,1,1984
53380,23.893223819299998,32.7967145791,5,128,190,180,USA,USA,107,19,51,3,1,1984
53381,31.811088295700003,25.6098562628,5,128,178,183,USA,USA,108,3,78,3,1,1984
53382,19.857631759100002,22.9158110883,5,128,175,180,USA,RSA,109,5,80,3,1,1984
53383,28.098562628299998,32.7967145791,5,128,190,180,CZE,USA,110,15,51,3,1,1984
53384,21.8288843258,29.8288843258,5,128,188,178,USA,GBR,111,24,57,3,1,1984
53385,24.301163586599998,28.5831622177,5,128,188,185,USA,GER,112,2,83,3,1,1984
53386,25.3552361396,27.613963039,5,128,180,185,USA,USA,113,1,17,4,1,1984
53387,27.7645448323,29.916495551,5,128,188,183,USA,USA,114,76,18,4,1,1984
53388,19.0800821355,26.3162217659,5,128,183,185,AUS,USA,115,33,12,4,1,1984
53389,24.3258042437,32.1724845996,5,128,193,178,ECU,USA,116,6,91,4,1,1984
53390,21.2676249144,26.2231348392,5,128,185,175,USA,USA,117,243,13,4,1,1984
53391,31.811088295700003,23.893223819299998,5,128,178,190,USA,USA,118,3,19,4,1,1984
53392,28.098562628299998,19.857631759100002,5,128,190,175,CZE,USA,119,15,5,4,1,1984
53393,24.301163586599998,21.8288843258,5,128,188,188,USA,USA,120,2,24,4,1,1984
53394,25.3552361396,27.7645448323,5,128,180,188,USA,USA,121,1,76,5,1,1984
53395,19.0800821355,24.3258042437,5,128,183,193,AUS,ECU,122,33,6,5,1,1984
53396,31.811088295700003,21.2676249144,5,128,178,185,USA,USA,123,3,243,5,1,1984
53397,24.301163586599998,28.098562628299998,5,128,188,190,USA,CZE,124,2,15,5,1,1984
53398,25.3552361396,19.0800821355,5,128,180,183,USA,AUS,125,1,33,6,1,1984
53399,31.811088295700003,24.301163586599998,5,128,178,188,USA,USA,126,3,2,6,1,1984
53400,25.3552361396,31.811088295700003,5,128,180,178,USA,USA,127,1,3,7,1,1984
54931,24.8761122519,17.4209445585,5,128,180,180,USA,ARG,1,1,295,1,1,1984
54932,21.9137577002,25.130732375100003,5,128,185,183,USA,USA,2,194,85,1,1,1984
54933,22.379192334000003,22.5763175907,5,128,173,170,ESP,IND,3,135,84,1,1,1984
54934,24.4599589322,33.275838466799996,5,128,178,173,USA,BRA,4,28,128,1,1,1984
54935,23.860369609899998,25.1909650924,5,128,180,198,BRA,USA,5,80,59,1,1,1984
54936,19.1375770021,20.643394935,5,128,188,173,SUI,ARG,6,179,49,1,1,1984
54937,20.6735112936,25.7002053388,5,128,190,190,USA,USA,7,146,145,1,1,1984
54938,30.8391512663,37.4565366188,5,128,178,183,ESP,ROU,8,7,169,1,1,1984
54939,28.104038329899996,23.4140999316,5,128,185,190,GER,USA,9,94,16,1,1,1984
54940,18.9048596851,25.6919917864,5,128,175,175,FRA,ESP,10,275,52,1,1,1984
54941,23.8165639973,28.188911704299997,5,128,180,180,USA,BRA,11,92,104,1,1,1984
54942,31.931553730300003,24.810403833000002,5,128,183,185,USA,USA,12,21,91,1,1,1984
54943,30.866529774099998,20.7775496235,5,128,178,178,ITA,USA,13,54,68,1,1,1984
54944,23.9151266256,25.968514715900003,5,128,178,175,ITA,CHI,14,71,114,1,1,1984
54945,26.7405886379,32.6899383984,5,128,183,185,ITA,BRA,15,46,184,1,1,1984
54946,19.378507871300002,26.8637919233,5,128,175,185,USA,FRA,16,6,161,1,1,1984
54947,31.3319644079,25.5167693361,5,128,178,178,USA,USA,17,3,78,1,1,1984
54948,29.3497604381,28.643394935,5,128,178,185,GBR,GBR,18,77,33,1,1,1984
54949,29.4373716632,25.2073921971,5,128,183,190,USA,USA,19,20,122,1,1,1984
54950,19.230663928800002,21.415468856900002,5,128,178,175,ARG,ESP,20,156,195,1,1,1984
54951,19.989048596900002,28.9472963723,5,128,175,196,FRA,USA,21,206,32,1,1,1984
54952,24.553045859,24.2984257358,5,128,178,185,SUI,USA,22,86,115,1,1,1984
54953,18.5954825462,28.2683093771,5,128,180,185,ESP,BRA,23,208,142,1,1,1984
54954,27.6194387406,25.4565366188,5,128,190,185,CZE,AUS,24,17,70,1,1,1984
54955,19.8412046543,31.077344284699997,5,128,188,178,SWE,CHI,25,23,162,1,1,1984
54956,20.8651608487,23.0116358658,5,128,188,183,SWE,AUS,26,27,35,1,1,1984
54957,27.895961670100004,28.216290212199997,5,128,183,193,CHI,PAR,27,134,55,1,1,1984
54958,22.398357289499998,25.9876796715,5,128,185,188,USA,ISR,28,62,43,1,1,1984
54959,20.845995893199998,16.3121149897,5,128,183,180,ITA,FRA,29,72,722,1,1,1984
54960,20.4462696783,21.8945927447,5,128,198,178,YUG,URU,30,281,50,1,1,1984
54961,18.7597535934,22.436687200500003,5,128,190,180,CZE,RSA,31,445,135,1,1,1984
54962,25.3798767967,25.968514715900003,5,128,185,193,ARG,USA,32,8,99,1,1,1984
54963,23.624914442199998,24.068446269699997,5,128,193,190,FRA,USA,33,5,68,1,1,1984
54964,24.6078028747,18.9924709103,5,128,185,190,BEL,FRA,34,89,188,1,1,1984
54965,19.7754962355,25.8206707734,5,128,173,175,GER,GER,35,108,106,1,1,1984
54966,18.496919917899998,23.2005475702,5,128,173,175,AUS,CRO,36,162,96,1,1,1984
54967,31.4140999316,21.5578370979,5,128,183,185,POL,GER,37,42,102,1,1,1984
54969,27.786447638600002,21.7138945927,5,128,173,183,USA,USA,39,208,130,1,1,1984
54970,29.650924024600002,26.81724846,5,128,183,180,HUN,NZL,40,51,25,1,1,1984
54971,21.782340862399998,19.622176591400002,5,128,183,190,ESP,SVK,41,64,101,1,1,1984
54972,28.010951403099998,17.6290212183,5,128,173,178,CZE,AUS,42,82,340,1,1,1984
54973,31.290896646100002,26.485968514699998,5,128,168,188,USA,FRA,43,285,47,1,1,1984
54974,21.8973305955,18.5051334702,5,128,190,185,ARG,AUS,44,135,153,1,1,1984
54975,20.4161533196,22.9240246407,5,128,196,178,BEL,ESP,45,57,127,1,1,1984
54976,20.476386037,18.6009582478,5,128,178,183,FRA,AUS,46,83,38,1,1,1984
54977,32.4982888433,23.041752224499998,5,128,190,170,AUS,CHI,47,67,133,1,1,1984
54978,19.362080766600002,20.6406570842,5,128,183,180,SWE,AUS,48,4,66,1,1,1984
54979,23.846680355900002,29.1471594798,5,128,193,188,ECU,RSA,49,14,111,1,1,1984
54980,23.759069130700002,27.3237508556,5,128,173,188,USA,USA,50,119,58,1,1,1984
54981,24.599589322399996,22.762491444200002,5,128,175,180,FRA,ROU,51,289,81,1,1,1984
54982,15.997262149200001,35.6851471595,5,128,180,173,SWE,FRA,52,793,143,1,1,1984
54983,18.8665297741,27.685147159499998,5,128,190,178,GER,IRI,53,126,259,1,1,1984
54984,21.5934291581,21.5550992471,5,128,185,175,SWE,CAN,54,100,79,1,1,1984
54985,18.6803559206,23.991786447600003,5,128,180,175,USA,SWE,55,44,61,1,1,1984
54986,24.898015058200002,31.375770020500003,5,128,180,180,SUI,ARG,56,26,11,1,1,1984
54987,22.4722792608,26.1656399726,5,128,180,175,SWE,FRA,57,19,203,1,1,1984
54988,17.9520876112,22.1984941821,5,128,188,180,SWE,PER,58,53,41,1,1,1984
54989,24.227241615300002,20.9691991786,5,128,201,196,NED,USA,59,107,48,1,1,1984
54990,18.7761806982,25.7002053388,5,128,173,193,SVK,USA,60,195,88,1,1,1984
54991,29.1389459274,24.1971252567,5,128,178,180,AUS,ARG,61,36,390,1,1,1984
54992,20.4982888433,29.9356605065,5,128,185,183,FRA,BRA,62,30,186,1,1,1984
54993,22.3052703628,21.3169062286,5,128,170,185,BOL,ESP,63,75,73,1,1,1984
54994,23.8220396988,26.7980835044,5,128,188,180,USA,USA,64,2,122,1,1,1984
54995,24.8761122519,21.9137577002,5,128,180,185,USA,USA,65,1,194,2,1,1984
54996,24.4599589322,22.379192334000003,5,128,178,173,USA,ESP,66,28,135,2,1,1984
54997,23.860369609899998,19.1375770021,5,128,180,188,BRA,SUI,67,80,179,2,1,1984
54998,30.8391512663,20.6735112936,5,128,178,190,ESP,USA,68,7,146,2,1,1984
54999,28.104038329899996,18.9048596851,5,128,185,175,GER,FRA,69,94,275,2,1,1984
55000,31.931553730300003,23.8165639973,5,128,183,180,USA,USA,70,21,92,2,1,1984
55001,23.9151266256,30.866529774099998,5,128,178,178,ITA,ITA,71,71,54,2,1,1984
55002,19.378507871300002,26.7405886379,5,128,175,183,USA,ITA,72,6,46,2,1,1984
55003,31.3319644079,29.3497604381,5,128,178,178,USA,GBR,73,3,77,2,1,1984
55004,19.230663928800002,29.4373716632,5,128,178,183,ARG,USA,74,156,20,2,1,1984
55005,24.553045859,19.989048596900002,5,128,178,175,SUI,FRA,75,86,206,2,1,1984
55006,18.5954825462,27.6194387406,5,128,180,190,ESP,CZE,76,208,17,2,1,1984
55007,19.8412046543,20.8651608487,5,128,188,188,SWE,SWE,77,23,27,2,1,1984
55008,27.895961670100004,22.398357289499998,5,128,183,185,CHI,USA,78,134,62,2,1,1984
55009,20.845995893199998,20.4462696783,5,128,183,198,ITA,YUG,79,72,281,2,1,1984
55010,18.7597535934,25.3798767967,5,128,190,185,CZE,ARG,80,445,8,2,1,1984
55011,23.624914442199998,24.6078028747,5,128,193,185,FRA,BEL,81,5,89,2,1,1984
55012,18.496919917899998,19.7754962355,5,128,173,173,AUS,GER,82,162,108,2,1,1984
55013,31.4140999316,16.4188911704,5,128,183,183,POL,USA,83,42,94,2,1,1984
55014,29.650924024600002,27.786447638600002,5,128,183,173,HUN,USA,84,51,208,2,1,1984
55015,21.782340862399998,28.010951403099998,5,128,183,173,ESP,CZE,85,64,82,2,1,1984
55016,31.290896646100002,21.8973305955,5,128,168,190,USA,ARG,86,285,135,2,1,1984
55017,20.476386037,20.4161533196,5,128,178,196,FRA,BEL,87,83,57,2,1,1984
55018,19.362080766600002,32.4982888433,5,128,183,190,SWE,AUS,88,4,67,2,1,1984
55019,23.846680355900002,23.759069130700002,5,128,193,173,ECU,USA,89,14,119,2,1,1984
55020,15.997262149200001,24.599589322399996,5,128,180,175,SWE,FRA,90,793,289,2,1,1984
55021,21.5934291581,18.8665297741,5,128,185,190,SWE,GER,91,100,126,2,1,1984
55022,24.898015058200002,18.6803559206,5,128,180,180,SUI,USA,92,26,44,2,1,1984
55023,22.4722792608,17.9520876112,5,128,180,188,SWE,SWE,93,19,53,2,1,1984
55024,24.227241615300002,18.7761806982,5,128,201,173,NED,SVK,94,107,195,2,1,1984
55025,29.1389459274,20.4982888433,5,128,178,185,AUS,FRA,95,36,30,2,1,1984
55026,23.8220396988,22.3052703628,5,128,188,170,USA,BOL,96,2,75,2,1,1984
55027,24.8761122519,24.4599589322,5,128,180,178,USA,USA,97,1,28,3,1,1984
55028,30.8391512663,23.860369609899998,5,128,178,180,ESP,BRA,98,7,80,3,1,1984
55029,31.931553730300003,28.104038329899996,5,128,183,185,USA,GER,99,21,94,3,1,1984
55030,19.378507871300002,23.9151266256,5,128,175,178,USA,ITA,100,6,71,3,1,1984
55031,31.3319644079,19.230663928800002,5,128,178,178,USA,ARG,101,3,156,3,1,1984
55032,18.5954825462,24.553045859,5,128,180,178,ESP,SUI,102,208,86,3,1,1984
55033,19.8412046543,27.895961670100004,5,128,188,183,SWE,CHI,103,23,134,3,1,1984
55034,20.845995893199998,18.7597535934,5,128,183,190,ITA,CZE,104,72,445,3,1,1984
55035,23.624914442199998,18.496919917899998,5,128,193,173,FRA,AUS,105,5,162,3,1,1984
55036,29.650924024600002,31.4140999316,5,128,183,183,HUN,POL,106,51,42,3,1,1984
55037,21.782340862399998,31.290896646100002,5,128,183,168,ESP,USA,107,64,285,3,1,1984
55038,19.362080766600002,20.476386037,5,128,183,178,SWE,FRA,108,4,83,3,1,1984
55039,23.846680355900002,15.997262149200001,5,128,193,180,ECU,SWE,109,14,793,3,1,1984
55040,21.5934291581,24.898015058200002,5,128,185,180,SWE,SUI,110,100,26,3,1,1984
55041,22.4722792608,24.227241615300002,5,128,180,201,SWE,NED,111,19,107,3,1,1984
55042,23.8220396988,29.1389459274,5,128,188,178,USA,AUS,112,2,36,3,1,1984
55043,24.8761122519,30.8391512663,5,128,180,178,USA,ESP,113,1,7,4,1,1984
55044,19.378507871300002,31.931553730300003,5,128,175,183,USA,USA,114,6,21,4,1,1984
55045,31.3319644079,18.5954825462,5,128,178,180,USA,ESP,115,3,208,4,1,1984
55046,19.8412046543,20.845995893199998,5,128,188,183,SWE,ITA,116,23,72,4,1,1984
55047,23.624914442199998,29.650924024600002,5,128,193,183,FRA,HUN,117,5,51,4,1,1984
55048,19.362080766600002,21.782340862399998,5,128,183,183,SWE,ESP,118,4,64,4,1,1984
55049,23.846680355900002,21.5934291581,5,128,193,185,ECU,SWE,119,14,100,4,1,1984
55050,23.8220396988,22.4722792608,5,128,188,180,USA,SWE,120,2,19,4,1,1984
55051,24.8761122519,19.378507871300002,5,128,180,175,USA,USA,121,1,6,5,1,1984
55052,31.3319644079,19.8412046543,5,128,178,188,USA,SWE,122,3,23,5,1,1984
55053,19.362080766600002,23.624914442199998,5,128,183,193,SWE,FRA,123,4,5,5,1,1984
55054,23.8220396988,23.846680355900002,5,128,188,193,USA,ECU,124,2,14,5,1,1984
55055,24.8761122519,31.3319644079,5,128,180,178,USA,USA,125,1,3,6,1,1984
55056,23.8220396988,19.362080766600002,5,128,188,183,USA,SWE,126,2,4,6,1,1984
55057,23.8220396988,24.8761122519,5,128,188,180,USA,USA,127,2,1,7,1,1984
55649,28.0355920602,23.9123887748,5,96,185,183,USA,AUS,1,53,52,1,1,1984
55650,22.458590006799998,19.7125256674,5,96,185,180,GER,GER,2,231,155,1,1,1984
55651,28.3997262149,23.3264887064,5,96,190,193,RSA,USA,3,96,131,1,1,1984
55652,21.541409993200002,26.2696783025,5,96,180,183,AUS,RSA,4,66,180,1,1,1984
55653,26.5051334702,22.8062970568,5,96,178,173,USA,USA,5,167,163,1,1,1984
55654,26.721423682399998,20.8405201916,5,96,175,170,GER,AUS,6,138,133,1,1,1984
55655,22.250513347,18.5297741273,5,96,188,178,USA,AUS,7,58,239,1,1,1984
55656,29.0212183436,23.9041752225,5,96,193,183,PAR,AUS,8,93,210,1,1,1984
55657,29.5441478439,23.7015742642,5,96,185,185,GBR,AUS,9,175,301,1,1,1984
55658,19.151266256,23.279945243,5,96,185,188,AUS,USA,10,317,94,1,1,1984
55659,22.119096509200002,23.7645448323,5,96,193,190,ISR,AUS,11,80,592,1,1,1984
55660,24.659822039699996,24.8131416838,5,96,173,178,USA,USA,12,95,151,1,1,1984
55661,19.8932238193,24.539356605100004,5,96,190,188,FRA,USA,13,44,141,1,1,1984
55662,32.6351813826,30.759753593400003,5,96,183,188,AUS,NZL,14,221,121,1,1,1984
55663,31.1321013005,21.6783025325,5,96,193,178,USA,USA,15,115,85,1,1,1984
55664,17.0130047912,29.2292950034,5,96,190,183,GER,USA,16,108,204,1,1,1984
55665,25.9028062971,21.5112936345,5,96,185,185,USA,USA,17,169,162,1,1,1984
55666,32.9911019849,28.2245037645,5,96,183,188,AUT,USA,18,186,120,1,1,1984
55667,19.405886379200002,29.004791238899998,5,96,185,185,AUS,GER,19,202,156,1,1,1984
55670,26.1273100616,26.8637919233,5,96,185,180,USA,USA,22,234,165,1,1,1984
55671,21.4373716632,24.0574948665,5,96,188,193,USA,USA,23,217,222,1,1,1984
55673,26.3572895277,30.0396988364,5,96,185,178,AUS,AUS,25,73,51,1,1,1984
55674,26.031485284099997,23.550992470900002,5,96,183,185,USA,USA,26,54,136,1,1,1984
55676,26.1081451061,27.345653661900002,5,96,190,178,USA,USA,28,97,126,1,1,1984
55677,21.9028062971,24.6707734428,5,96,190,178,GBR,GER,29,152,125,1,1,1984
55678,24.892539356599997,26.8884325804,5,96,175,188,SWE,ISR,30,132,74,1,1,1984
55679,21.574264202600002,23.570157426399998,5,96,190,190,USA,AUS,31,175,169,1,1,1984
55680,23.0308008214,22.1081451061,5,96,188,188,AUS,AUS,32,451,192,1,1,1984
55681,24.9117043121,26.0917180014,5,96,180,198,NZL,USA,33,173,83,1,1,1984
55682,24.722792607800002,28.0355920602,5,96,188,185,USA,USA,34,2,53,2,1,1984
55683,19.8056125941,22.458590006799998,5,96,175,185,FRA,GER,35,77,231,2,1,1984
55684,28.3997262149,33.3990417522,5,96,190,190,RSA,AUS,36,96,123,2,1,1984
55685,26.7378507871,21.541409993200002,5,96,185,180,USA,AUS,37,21,66,2,1,1984
55686,23.2991101985,26.5051334702,5,96,185,178,USA,USA,38,28,167,2,1,1984
55687,26.721423682399998,21.689253935700002,5,96,175,185,GER,USA,39,138,92,2,1,1984
55688,22.250513347,27.718001368899998,5,96,188,180,USA,NZL,40,58,78,2,1,1984
55689,29.0212183436,30.338124572199998,5,96,193,183,PAR,USA,41,93,17,2,1,1984
55690,21.765913757699998,29.5441478439,5,96,188,185,SWE,GBR,42,8,175,2,1,1984
